player_a,player_b,team,season,chemistry,usg_overlap,usg_sum,obpm_diff,dbpm_diff,dbpm_sum,twoway_complement,ast_diff,ts_diff,age_diff,bpm_max,bpm_min,bpm_diff,shared_min
Mike Conley,Nickeil Alexander-Walker,MIN,2023-24,9.35,0.014,0.3,3.1,0.1,2.7,1.44,0.145,0.049,11.0,3.4,0.2,3.2,663.6
Damian Lillard,Malik Beasley,MIL,2023-24,9.34,0.132,0.416,4.4,0.5,-2.1,0.94,0.225,0.013,6.0,2.1,-1.8,3.9,1807.3
Al Horford,Sam Hauser,BOS,2023-24,9.33,0.027,0.265,0.5,2.0,2.0,0.36,0.062,0.021,12.0,3.6,1.2,2.4,699.7
Luguentz Dort,Josh Giddey,OKC,2023-24,9.29,0.071,0.375,2.4,0.6,0.2,0.72,0.191,0.046,4.0,1.5,-1.6,3.1,1431.7
Norman Powell,Daniel Theis,LAC,2023-24,9.29,0.043,0.343,2.0,1.3,-1.1,2.72,0.022,0.029,1.0,-0.8,-1.5,0.7,714.6
Isaac Okoro,Evan Mobley,CLE,2024-25,9.21,0.102,0.35,4.2,0.9,2.1,2.72,0.071,0.046,0.0,4.6,-0.5,5.1,508.4
Cameron Payne,Miles McBride,NYK,2024-25,9.1,0.038,0.362,0.3,0.6,0.2,0.08,0.096,0.001,6.0,0.0,-0.2,0.2,555.5
Karl-Anthony Towns,Jaden McDaniels,MIN,2023-24,9.08,0.112,0.424,4.9,0.2,1.6,2.8,0.08,0.054,5.0,2.5,-2.6,5.1,1165.2
Julius Randle,Josh Hart,NYK,2023-24,9.05,0.154,0.42,3.5,1.7,1.1,6.75,0.053,0.047,0.0,1.9,0.0,1.9,754.3
Cameron Payne,OG Anunoby,NYK,2024-25,9.04,0.005,0.395,0.8,0.3,-0.1,-0.06,0.167,0.059,3.0,0.7,-0.2,0.9,528.4
T.J. McConnell,Ben Sheppard,IND,2023-24,8.94,0.104,0.354,6.2,0.2,0.0,8.96,0.334,0.062,10.0,3.0,-3.4,6.4,522.7
De'Anthony Melton,Tyrese Maxey,PHI,2023-24,8.87,0.096,0.45,4.8,2.2,0.2,9.69,0.113,0.04,3.0,3.1,0.5,2.6,773.4
Luguentz Dort,Cason Wallace,OKC,2024-25,8.84,0.009,0.257,0.9,1.8,3.4,-5.74,0.05,0.024,5.0,1.0,0.2,0.8,1037.5
Tobias Harris,De'Anthony Melton,PHI,2023-24,8.8,0.026,0.38,1.7,1.3,1.1,2.09,0.008,0.043,5.0,0.9,0.5,0.4,871.0
Dorian Finney-Smith,Luka Dončić,LAL,2024-25,8.75,0.205,0.451,7.1,1.0,1.2,7.48,0.276,0.017,6.0,6.5,-1.5,8.0,667.0
Moses Moody,Brandin Podziemski,GSW,2024-25,8.72,0.007,0.347,0.8,0.8,0.8,-0.81,0.11,0.021,1.0,0.7,-0.9,1.6,839.5
