player_a,player_b,team,season,gp,w,l,shared_min,pair_pm,pair_pm_per48,a_bpm,a_obpm,a_dbpm,b_bpm,b_obpm,b_dbpm,expected,chemistry
Jakob Poeltl,OG Anunoby,TOR,2023-24,27,11,16,583.7,-29.0,-2.38,0.7,-0.3,1.0,-1.6,-0.8,-0.7,-0.9,-1.48
Stephen Curry,Draymond Green,GSW,2023-24,51,31,20,1288.1,164.0,6.11,5.2,6.3,-1.1,2.4,-0.6,3.0,7.6,-1.49
Chris Paul,Jeremy Sochan,SAS,2024-25,54,21,33,786.6,-31.0,-1.89,0.8,0.3,0.5,-1.2,-0.8,-0.4,-0.4,-1.49
Bam Adebayo,Haywood Highsmith,MIA,2023-24,59,34,25,817.8,3.0,0.18,2.4,0.8,1.7,-0.7,-1.8,1.1,1.7,-1.52
Tobias Harris,Jalen Duren,DET,2024-25,70,39,31,1527.8,53.0,1.67,0.1,-0.5,0.6,3.1,1.6,1.5,3.2,-1.53
Guerschon Yabusele,Tyrese Maxey,PHI,2024-25,48,20,28,1061.1,-12.0,-0.54,-1.0,0.1,-1.1,2.0,3.2,-1.1,1.0,-1.54
Kawhi Leonard,Amir Coffey,LAC,2023-24,48,33,15,520.9,19.0,1.75,5.5,4.8,0.6,-2.2,-1.9,-0.3,3.3,-1.55
Coby White,Matas Buzelis,CHI,2024-25,70,34,36,863.0,-89.0,-4.95,-0.9,0.5,-1.4,-2.5,-2.0,-0.5,-3.4,-1.55
Trae Young,Dyson Daniels,ATL,2024-25,72,34,38,1861.9,17.0,0.44,0.5,3.3,-2.7,1.5,-1.1,2.6,2.0,-1.56
Josh Giddey,Matas Buzelis,CHI,2024-25,62,31,31,768.6,-17.0,-1.06,3.0,1.9,1.1,-2.5,-2.0,-0.5,0.5,-1.56
Shai Gilgeous-Alexander,Chet Holmgren,OKC,2024-25,30,24,6,626.0,161.0,12.34,11.5,8.9,2.6,2.4,0.5,1.9,13.9,-1.56
Deni Avdija,Toumani Camara,POR,2024-25,68,30,38,1448.3,13.0,0.43,2.1,1.5,0.6,-0.1,-0.9,0.8,2.0,-1.57
Clint Capela,Trae Young,ATL,2024-25,50,24,26,927.3,-40.0,-2.07,-1.0,-0.6,-0.4,0.5,3.3,-2.7,-0.5,-1.57
Deni Avdija,Shaedon Sharpe,POR,2024-25,63,30,33,1156.2,-19.0,-0.79,2.1,1.5,0.6,-1.3,0.0,-1.3,0.8,-1.59
Klay Thompson,Kevon Looney,GSW,2023-24,67,37,30,819.5,-24.0,-1.41,-0.4,1.1,-1.5,0.6,-0.8,1.4,0.2,-1.61
James Harden,Ivica Zubac,LAC,2023-24,60,37,23,1365.6,93.0,3.27,4.1,3.8,0.3,0.8,0.8,0.0,4.9,-1.63
Bilal Coulibaly,Kyshawn George,WAS,2024-25,52,11,41,911.4,-179.0,-9.43,-3.7,-3.0,-0.7,-4.1,-3.8,-0.3,-7.8,-1.63
Anthony Edwards,Jaden McDaniels,MIN,2024-25,79,48,31,2144.7,119.0,2.66,4.3,4.4,0.0,0.0,-1.4,1.4,4.3,-1.64
Corey Kispert,Bilal Coulibaly,WAS,2024-25,53,11,42,764.7,-144.0,-9.04,-3.7,-1.4,-2.2,-3.7,-3.0,-0.7,-7.4,-1.64
Jalen Suggs,Paolo Banchero,ORL,2023-24,73,42,31,1912.1,26.0,0.65,1.0,-0.6,1.6,1.3,1.3,0.0,2.3,-1.65
Fred VanVleet,Jalen Green,HOU,2023-24,73,38,35,1936.5,50.0,1.24,3.4,2.6,0.8,-0.5,0.4,-0.9,2.9,-1.66
Nikola Jokić,Jamal Murray,DEN,2023-24,58,44,14,1417.6,462.0,15.64,13.2,9.0,4.2,4.1,4.5,-0.4,17.3,-1.66
Joel Embiid,Tyrese Maxey,PHI,2023-24,36,29,7,958.1,260.0,13.03,11.6,8.5,3.1,3.1,4.1,-1.0,14.7,-1.67
Shaedon Sharpe,Donovan Clingan,POR,2024-25,56,24,32,777.0,-53.0,-3.27,-1.3,0.0,-1.3,-0.3,-1.7,1.4,-1.6,-1.67
Kyrie Irving,Quentin Grimes,DAL,2024-25,36,22,14,506.4,15.0,1.42,3.4,3.9,-0.5,-0.3,0.1,-0.4,3.1,-1.68
Jordan Poole,Corey Kispert,WAS,2023-24,70,13,57,973.8,-156.0,-7.69,-3.9,-2.0,-1.9,-2.1,-0.2,-2.0,-6.0,-1.69
Julius Randle,Donte DiVincenzo,NYK,2023-24,46,29,17,786.7,59.0,3.6,1.9,2.2,-0.3,3.4,2.5,0.9,5.3,-1.7
Domantas Sabonis,De'Aaron Fox,SAC,2024-25,42,20,22,1126.3,110.0,4.69,5.2,4.2,1.1,1.2,2.0,-0.8,6.4,-1.71
John Collins,Keyonte George,UTA,2024-25,36,10,26,717.1,-51.0,-3.41,1.0,1.4,-0.4,-2.7,-0.2,-2.5,-1.7,-1.71
Kelly Olynyk,Jordan Clarkson,UTA,2023-24,42,20,22,622.4,-47.0,-3.62,2.6,1.3,1.3,-4.5,-1.3,-3.2,-1.9,-1.72
Devin Booker,Drew Eubanks,PHX,2023-24,59,34,25,620.3,1.0,0.08,3.0,4.0,-1.0,-1.2,-2.0,0.8,1.8,-1.72
DeMar DeRozan,Trey Lyles,SAC,2024-25,64,32,32,735.9,-39.0,-2.54,-0.1,1.2,-1.2,-0.7,-0.4,-0.3,-0.8,-1.74
Matisse Thybulle,Jabari Walker,POR,2023-24,50,14,36,646.2,-60.0,-4.46,0.6,-2.8,3.4,-3.3,-2.4,-0.9,-2.7,-1.76
Caris LeVert,Evan Mobley,CLE,2023-24,41,23,18,650.9,18.0,1.33,0.2,-0.6,0.8,2.9,0.9,2.0,3.1,-1.77
Precious Achiuwa,Miles McBride,NYK,2024-25,44,28,16,576.0,-44.0,-3.67,-1.9,-2.1,0.2,0.0,-0.4,0.4,-1.9,-1.77
T.J. McConnell,Ben Sheppard,IND,2024-25,59,39,20,680.4,-37.0,-2.61,1.2,0.6,0.6,-2.0,-2.2,0.2,-0.8,-1.81
Jordan Poole,Corey Kispert,WAS,2024-25,51,12,39,611.1,-65.0,-5.11,0.4,2.0,-1.6,-3.7,-1.4,-2.2,-3.3,-1.81
Obi Toppin,Bennedict Mathurin,IND,2023-24,59,33,26,747.6,-58.0,-3.72,1.5,1.8,-0.3,-3.4,-1.2,-2.3,-1.9,-1.82
Damian Lillard,Taurean Prince,MIL,2024-25,58,32,26,1314.0,12.0,0.44,4.0,4.7,-0.6,-1.7,-2.0,0.3,2.3,-1.86
Anthony Davis,Max Christie,LAL,2024-25,39,21,18,801.3,39.0,2.34,6.0,4.5,1.5,-1.8,-1.8,0.0,4.2,-1.86
Isaac Okoro,Evan Mobley,CLE,2023-24,37,22,15,545.5,-1.0,-0.09,-1.1,-1.8,0.7,2.9,0.9,2.0,1.8,-1.89
DeMar DeRozan,Coby White,CHI,2023-24,76,35,41,2211.6,-37.0,-0.8,1.8,2.1,-0.3,-0.7,0.7,-1.3,1.1,-1.9
Jalen Brunson,Donte DiVincenzo,NYK,2023-24,75,49,26,1708.7,260.0,7.3,5.8,6.3,-0.4,3.4,2.5,0.9,9.2,-1.9
Alex Caruso,Coby White,CHI,2023-24,68,32,36,1453.2,-3.0,-0.1,2.5,0.2,2.3,-0.7,0.7,-1.3,1.8,-1.9
CJ McCollum,Javonte Green,NOP,2024-25,36,9,27,523.7,-60.0,-5.5,-1.4,1.2,-2.6,-2.2,-2.5,0.3,-3.6,-1.9
Aaron Nesmith,Bennedict Mathurin,IND,2023-24,47,26,21,537.1,-65.0,-5.81,-0.5,-0.3,-0.2,-3.4,-1.2,-2.3,-3.9,-1.91
Kentavious Caldwell-Pope,Cole Anthony,ORL,2024-25,50,25,25,654.9,-44.0,-3.22,-1.4,-3.0,1.6,0.1,-0.8,0.9,-1.3,-1.92
Josh Richardson,Jaime Jaquez Jr.,MIA,2023-24,37,23,14,673.0,-72.0,-5.13,-1.3,-1.3,0.0,-1.9,-2.2,0.3,-3.2,-1.93
Matisse Thybulle,Scoot Henderson,POR,2023-24,45,14,31,631.0,-94.0,-7.15,0.6,-2.8,3.4,-5.8,-3.5,-2.3,-5.2,-1.95
Wendell Carter Jr.,Cole Anthony,ORL,2024-25,49,23,26,551.3,-35.0,-3.05,-1.2,-2.2,0.9,0.1,-0.8,0.9,-1.1,-1.95
Giannis Antetokounmpo,Kyle Kuzma,MIL,2024-25,26,17,9,539.0,32.0,2.85,9.5,6.9,2.5,-4.7,-2.9,-1.8,4.8,-1.95
Zach LaVine,Ayo Dosunmu,CHI,2024-25,32,13,19,661.4,-27.0,-1.96,1.6,2.7,-1.0,-1.6,-1.4,-0.2,0.0,-1.96
Chris Paul,Andrew Wiggins,GSW,2023-24,49,27,22,590.9,-43.0,-3.49,1.0,-0.2,1.2,-2.5,-1.4,-1.2,-1.5,-1.99
Scoot Henderson,Kris Murray,POR,2023-24,41,9,32,560.7,-133.0,-11.39,-5.8,-3.5,-2.3,-3.6,-3.5,-0.2,-9.4,-1.99
Julius Randle,Anthony Edwards,MIN,2024-25,69,44,25,1862.2,140.0,3.61,1.3,1.5,-0.2,4.3,4.4,0.0,5.6,-1.99
Tim Hardaway Jr.,Jaden Ivey,DET,2024-25,28,12,16,525.4,-45.0,-4.11,-2.1,-1.1,-0.9,0.0,0.8,-0.8,-2.1,-2.01
Anthony Davis,D'Angelo Russell,LAL,2023-24,71,44,27,1785.3,148.0,3.98,5.1,3.5,1.7,0.9,1.7,-0.8,6.0,-2.02
Jonas Valančiūnas,CJ McCollum,NOP,2023-24,66,42,24,1220.5,58.0,2.28,1.2,0.7,0.5,3.1,3.3,-0.3,4.3,-2.02
Tyus Jones,Devin Booker,PHX,2024-25,74,35,39,1581.4,-50.0,-1.52,0.1,1.4,-1.3,0.4,2.8,-2.4,0.5,-2.02
Max Strus,Evan Mobley,CLE,2023-24,47,27,20,1073.8,6.0,0.27,-0.6,-1.1,0.5,2.9,0.9,2.0,2.3,-2.03
Devin Vassell,Julian Champagnie,SAS,2023-24,54,14,40,770.2,-63.0,-3.93,0.0,0.9,-0.9,-1.9,-1.8,-0.1,-1.9,-2.03
Jae Crowder,Giannis Antetokounmpo,MIL,2023-24,42,22,20,702.8,64.0,4.37,-2.6,-2.6,0.0,9.0,6.7,2.4,6.4,-2.03
Kevin Durant,Royce O'Neale,PHX,2024-25,55,30,25,981.4,26.0,1.27,3.2,3.9,-0.7,0.1,0.2,-0.1,3.3,-2.03
Paul George,Tyrese Maxey,PHI,2024-25,34,14,20,893.3,-8.0,-0.43,-0.4,-0.5,0.1,2.0,3.2,-1.1,1.6,-2.03
Dyson Daniels,Zaccharie Risacher,ATL,2024-25,69,35,34,1306.9,-110.0,-4.04,1.5,-1.1,2.6,-3.5,-1.7,-1.8,-2.0,-2.04
P.J. Washington,Naji Marshall,DAL,2024-25,45,24,21,678.2,-53.0,-3.75,-0.9,-1.1,0.2,-0.8,-0.3,-0.5,-1.7,-2.05
De'Aaron Fox,Malik Monk,SAC,2023-24,63,38,25,1085.4,28.0,1.24,2.7,2.6,0.1,0.6,1.5,-1.0,3.3,-2.06
Anfernee Simons,Kris Murray,POR,2023-24,27,5,22,525.8,-60.0,-5.48,0.2,2.7,-2.5,-3.6,-3.5,-0.2,-3.4,-2.08
Shaedon Sharpe,Toumani Camara,POR,2024-25,68,29,39,1532.9,-111.0,-3.48,-1.3,0.0,-1.3,-0.1,-0.9,0.8,-1.4,-2.08
Paolo Banchero,Anthony Black,ORL,2024-25,46,21,25,604.6,-6.0,-0.48,3.5,3.4,0.2,-1.9,-3.1,1.2,1.6,-2.08
Bub Carrington,Kyshawn George,WAS,2024-25,66,13,53,997.9,-225.0,-10.82,-4.6,-3.3,-1.3,-4.1,-3.8,-0.3,-8.7,-2.12
Derrick Jones Jr.,Luka Dončić,DAL,2023-24,67,44,23,1333.6,174.0,6.26,-1.5,-1.3,-0.3,9.9,8.3,1.7,8.4,-2.14
Kevin Durant,Grayson Allen,PHX,2024-25,46,26,20,699.8,11.0,0.75,3.2,3.9,-0.7,-0.3,0.7,-1.0,2.9,-2.15
Jonathan Isaac,Anthony Black,ORL,2024-25,67,33,34,771.8,-54.0,-3.36,0.7,-1.1,1.8,-1.9,-3.1,1.2,-1.2,-2.16
Lauri Markkanen,Collin Sexton,UTA,2024-25,40,7,33,888.1,-58.0,-3.13,-0.3,1.8,-2.1,-0.6,1.7,-2.3,-0.9,-2.23
Devin Booker,Oso Ighodaro,PHX,2024-25,46,21,25,672.5,-62.0,-4.43,0.4,2.8,-2.4,-2.6,-2.9,0.3,-2.2,-2.23
Mikal Bridges,LaMelo Ball,CHA,2024-25,40,14,26,879.4,8.0,0.44,-0.5,0.4,-0.9,3.2,4.1,-0.9,2.7,-2.26
Anthony Davis,Taurean Prince,LAL,2023-24,72,42,30,1504.5,1.0,0.03,5.1,3.5,1.7,-2.8,-2.6,-0.2,2.3,-2.27
Jordan Clarkson,John Collins,UTA,2023-24,54,22,32,976.5,-156.0,-7.67,-4.5,-1.3,-3.2,-0.9,0.5,-1.4,-5.4,-2.27
DeMar DeRozan,Zach LaVine,SAC,2024-25,32,14,18,879.1,-51.0,-2.78,-0.1,1.2,-1.2,-0.4,1.8,-2.3,-0.5,-2.28
Trae Young,Saddiq Bey,ATL,2023-24,50,21,29,1236.7,-39.0,-1.51,2.6,4.9,-2.3,-1.8,0.1,-2.0,0.8,-2.31
Gary Trent Jr.,Scottie Barnes,TOR,2023-24,55,21,34,1017.5,-26.0,-1.23,-2.6,-1.2,-1.4,3.7,2.9,0.8,1.1,-2.33
Zion Williamson,Herbert Jones,NOP,2023-24,66,40,26,1454.4,62.0,2.05,3.8,3.3,0.6,0.6,-0.9,1.5,4.4,-2.35
James Harden,Kawhi Leonard,LAC,2023-24,61,40,21,1617.3,244.0,7.24,4.1,3.8,0.3,5.5,4.8,0.6,9.6,-2.36
Bam Adebayo,Caleb Martin,MIA,2023-24,54,30,24,975.1,-40.0,-1.97,2.4,0.8,1.7,-2.0,-2.2,0.2,0.4,-2.37
Keldon Johnson,Julian Champagnie,SAS,2024-25,77,31,46,1047.8,-115.0,-5.27,-1.6,0.0,-1.6,-1.3,-0.3,-0.9,-2.9,-2.37
Aaron Holiday,Jabari Smith Jr.,HOU,2023-24,64,34,30,538.8,-48.0,-4.28,-1.5,-1.8,0.3,-0.4,-0.5,0.1,-1.9,-2.38
Wendell Carter Jr.,Paolo Banchero,ORL,2023-24,53,29,24,1228.6,-5.0,-0.2,0.9,0.5,0.4,1.3,1.3,0.0,2.2,-2.4
DeMar DeRozan,Ayo Dosunmu,CHI,2023-24,74,36,38,1603.2,-47.0,-1.41,1.8,2.1,-0.3,-0.8,-0.6,-0.2,1.0,-2.41
Derrick Jones Jr.,Amir Coffey,LAC,2024-25,60,36,24,674.2,-62.0,-4.41,-0.3,-1.0,0.7,-1.7,-1.5,-0.2,-2.0,-2.41
Myles Turner,Bennedict Mathurin,IND,2023-24,55,31,24,683.5,-70.0,-4.92,0.9,1.0,-0.1,-3.4,-1.2,-2.3,-2.5,-2.42
Terry Rozier,Bam Adebayo,MIA,2024-25,61,26,35,1131.1,-97.0,-4.12,-3.7,-2.6,-1.0,2.0,1.0,1.0,-1.7,-2.42
Jimmy Butler,Bam Adebayo,MIA,2023-24,50,27,23,1138.9,108.0,4.55,4.6,3.9,0.7,2.4,0.8,1.7,7.0,-2.45
Nicolas Batum,Amir Coffey,LAC,2024-25,65,38,27,659.1,-46.0,-3.35,0.8,-1.2,2.0,-1.7,-1.5,-0.2,-0.9,-2.45
Vasilije Micić,Grant Williams,CHA,2023-24,28,10,18,531.7,-107.0,-9.66,-4.6,-2.5,-2.2,-2.6,-1.9,-0.7,-7.2,-2.46
Johnny Juzang,Isaiah Collier,UTA,2024-25,54,12,42,634.4,-133.0,-10.06,-2.3,-0.9,-1.4,-5.3,-3.8,-1.5,-7.6,-2.46
Devin Vassell,Julian Champagnie,SAS,2024-25,61,23,38,532.3,-54.0,-4.87,-1.1,-0.3,-0.8,-1.3,-0.3,-0.9,-2.4,-2.47
Chet Holmgren,Cason Wallace,OKC,2023-24,82,57,25,846.1,18.0,1.02,3.4,1.8,1.5,0.1,-0.9,1.0,3.5,-2.48
Alex Sarr,Kyshawn George,WAS,2024-25,56,11,45,777.2,-160.0,-9.88,-3.3,-2.2,-1.0,-4.1,-3.8,-0.3,-7.4,-2.48
T.J. McConnell,Bennedict Mathurin,IND,2023-24,46,24,22,598.5,-36.0,-2.89,3.0,2.9,0.1,-3.4,-1.2,-2.3,-0.4,-2.49
Dennis Schröder,Dorian Finney-Smith,BKN,2023-24,26,11,15,571.2,-75.0,-6.3,-1.8,-0.5,-1.3,-2.0,-2.0,-0.1,-3.8,-2.5
Jalen Wilson,Tyrese Martin,BKN,2024-25,56,14,42,827.0,-155.0,-9.0,-3.9,-2.6,-1.3,-2.6,-1.4,-1.2,-6.5,-2.5
Russell Westbrook,Julian Strawther,DEN,2024-25,57,34,23,645.7,-109.0,-8.1,-1.1,-0.9,-0.2,-4.5,-3.1,-1.4,-5.6,-2.5
Dennis Schröder,Mikal Bridges,BKN,2023-24,29,12,17,754.2,-74.0,-4.71,-1.8,-0.5,-1.3,-0.4,0.7,-1.0,-2.2,-2.51
Kelly Oubre Jr.,Tyrese Maxey,PHI,2024-25,48,19,29,1464.3,-86.0,-2.82,-2.3,-1.7,-0.6,2.0,3.2,-1.1,-0.3,-2.52
Christian Braun,Peyton Watson,DEN,2023-24,79,55,24,1064.1,-147.0,-6.63,-1.9,-1.7,-0.2,-2.2,-3.0,0.8,-4.1,-2.53
Shai Gilgeous-Alexander,Jalen Williams,OKC,2024-25,67,54,13,1464.0,395.0,12.95,11.5,8.9,2.6,4.0,2.7,1.4,15.5,-2.55
Collin Sexton,Isaiah Collier,UTA,2024-25,43,10,33,562.5,-99.0,-8.45,-0.6,1.7,-2.3,-5.3,-3.8,-1.5,-5.9,-2.55
Jalen Brunson,Quentin Grimes,NYK,2023-24,41,28,13,578.9,21.0,1.74,5.8,6.3,-0.4,-1.5,-1.9,0.4,4.3,-2.56
Dorian Finney-Smith,Nic Claxton,BKN,2023-24,59,23,36,1069.9,-76.0,-3.41,-2.0,-2.0,-0.1,1.2,-0.3,1.5,-0.8,-2.61
Brook Lopez,Damian Lillard,MIL,2024-25,58,32,26,1689.8,77.0,2.19,0.8,0.4,0.4,4.0,4.7,-0.6,4.8,-2.61
Wendell Carter Jr.,Paolo Banchero,ORL,2024-25,46,21,25,1054.9,-7.0,-0.32,-1.2,-2.2,0.9,3.5,3.4,0.2,2.3,-2.62
Luka Dončić,Dereck Lively II,DAL,2023-24,51,34,17,1075.1,174.0,7.77,9.9,8.3,1.7,0.5,-0.3,0.8,10.4,-2.63
Isaiah Stewart,Ausar Thompson,DET,2023-24,41,7,34,733.3,-109.0,-7.13,-2.3,-1.6,-0.7,-2.2,-2.8,0.6,-4.5,-2.63
James Wiseman,Marcus Sasser,DET,2023-24,50,6,44,555.4,-101.0,-8.73,-3.5,-2.6,-0.9,-2.6,-1.5,-1.1,-6.1,-2.63
Nikola Jokić,Jamal Murray,DEN,2024-25,58,38,20,1619.0,387.0,11.47,13.3,9.9,3.3,0.8,1.8,-1.0,14.1,-2.63
Jalen Green,Amen Thompson,HOU,2024-25,69,43,26,1469.0,60.0,1.96,0.5,1.1,-0.5,4.1,1.4,2.6,4.6,-2.64
Nikola Vučević,Coby White,CHI,2023-24,73,34,39,2111.4,-143.0,-3.25,0.1,0.8,-0.7,-0.7,0.7,-1.3,-0.6,-2.65
Scoot Henderson,Jabari Walker,POR,2023-24,53,14,39,815.5,-200.0,-11.77,-5.8,-3.5,-2.3,-3.3,-2.4,-0.9,-9.1,-2.67
Terry Rozier,Bam Adebayo,MIA,2023-24,30,14,16,799.3,7.0,0.42,0.7,0.4,0.3,2.4,0.8,1.7,3.1,-2.68
Aaron Wiggins,Chet Holmgren,OKC,2023-24,75,52,23,648.6,19.0,1.41,0.7,0.4,0.4,3.4,1.8,1.5,4.1,-2.69
Cedi Osman,Malaki Branham,SAS,2023-24,65,15,50,568.0,-123.0,-10.39,-2.1,-1.7,-0.3,-5.6,-3.4,-2.2,-7.7,-2.69
Keldon Johnson,Jeremy Sochan,SAS,2023-24,68,17,51,1126.4,-183.0,-7.8,-1.7,-0.3,-1.4,-3.4,-2.8,-0.6,-5.1,-2.7
Brandon Ingram,Zion Williamson,NOP,2023-24,55,33,22,1085.3,52.0,2.3,1.2,1.4,-0.3,3.8,3.3,0.6,5.0,-2.7
Marcus Smart,Desmond Bane,MEM,2023-24,20,7,13,516.2,-25.0,-2.32,-2.4,-3.3,0.9,2.8,3.1,-0.3,0.4,-2.72
Anfernee Simons,Deni Avdija,POR,2024-25,63,26,37,1407.1,-21.0,-0.72,-0.1,1.5,-1.5,2.1,1.5,0.6,2.0,-2.72
Kevin Durant,Devin Booker,PHX,2024-25,56,32,24,1536.2,28.0,0.87,3.2,3.9,-0.7,0.4,2.8,-2.4,3.6,-2.73
Cade Cunningham,Ausar Thompson,DET,2024-25,49,28,21,905.8,54.0,2.86,3.9,3.8,0.1,1.7,-0.8,2.5,5.6,-2.74
Zach LaVine,Coby White,CHI,2023-24,25,10,15,697.0,-49.0,-3.37,0.1,0.8,-0.7,-0.7,0.7,-1.3,-0.6,-2.77
Clint Capela,Dejounte Murray,ATL,2023-24,71,32,39,1772.0,-36.0,-0.98,0.1,1.0,-1.0,1.7,2.3,-0.6,1.8,-2.78
Gary Trent Jr.,Immanuel Quickley,TOR,2023-24,32,12,20,757.8,-76.0,-4.81,-2.6,-1.2,-1.4,0.6,1.9,-1.3,-2.0,-2.81
Goga Bitadze,Jalen Suggs,ORL,2023-24,38,18,20,656.0,4.0,0.29,2.1,-0.7,2.8,1.0,-0.6,1.6,3.1,-2.81
Cole Anthony,Paolo Banchero,ORL,2023-24,78,45,33,878.8,-26.0,-1.42,0.1,-0.6,0.7,1.3,1.3,0.0,1.4,-2.82
Onyeka Okongwu,Dyson Daniels,ATL,2024-25,70,34,36,1522.9,-1.0,-0.03,1.3,1.2,0.2,1.5,-1.1,2.6,2.8,-2.83
Malik Beasley,Jalen Duren,DET,2024-25,77,43,34,938.1,21.0,1.07,0.8,2.0,-1.2,3.1,1.6,1.5,3.9,-2.83
Domantas Sabonis,Keegan Murray,SAC,2023-24,77,43,34,2256.2,129.0,2.74,6.5,4.0,2.4,-0.9,-0.4,-0.5,5.6,-2.86
Obi Toppin,Bennedict Mathurin,IND,2024-25,68,40,28,779.0,-66.0,-4.07,1.7,1.8,-0.1,-2.9,-1.3,-1.5,-1.2,-2.87
Donte DiVincenzo,Miles McBride,NYK,2023-24,48,29,19,799.2,7.0,0.42,3.4,2.5,0.9,-0.1,-0.4,0.4,3.3,-2.88
Chris Paul,Devin Vassell,SAS,2024-25,64,24,40,1307.5,-87.0,-3.19,0.8,0.3,0.5,-1.1,-0.3,-0.8,-0.3,-2.89
Kristaps Porziņģis,Derrick White,BOS,2024-25,38,28,10,942.3,104.0,5.3,4.7,3.5,1.2,3.5,2.7,0.8,8.2,-2.9
Damian Lillard,Andre Jackson Jr.,MIL,2024-25,41,23,18,598.2,-29.0,-2.33,4.0,4.7,-0.6,-3.4,-3.6,0.2,0.6,-2.93
Terry Rozier,Tyler Herro,MIA,2024-25,56,25,31,947.3,-70.0,-3.55,-3.7,-2.6,-1.0,3.1,3.8,-0.7,-0.6,-2.95
Harrison Barnes,Devin Vassell,SAS,2024-25,64,24,40,1181.1,-100.0,-4.06,0.0,1.7,-1.7,-1.1,-0.3,-0.8,-1.1,-2.96
Jordan Poole,Deni Avdija,WAS,2023-24,71,14,57,1465.0,-237.0,-7.77,-3.9,-2.0,-1.9,-0.9,-0.7,-0.2,-4.8,-2.97
Dejounte Murray,Saddiq Bey,ATL,2023-24,60,26,34,1594.6,-103.0,-3.1,1.7,2.3,-0.6,-1.8,0.1,-2.0,-0.1,-3.0
Kevin Durant,Tyus Jones,PHX,2024-25,61,33,28,1263.9,7.0,0.27,3.2,3.9,-0.7,0.1,1.4,-1.3,3.3,-3.03
Domantas Sabonis,Keon Ellis,SAC,2024-25,66,34,32,1217.7,103.0,4.06,5.2,4.2,1.1,1.9,-0.1,2.0,7.1,-3.04
Daniel Gafford,Jordan Poole,WAS,2023-24,43,9,34,911.4,-115.0,-6.06,0.9,-0.2,1.1,-3.9,-2.0,-1.9,-3.0,-3.06
Isaiah Stewart,Cade Cunningham,DET,2024-25,63,33,30,734.2,22.0,1.44,0.6,-1.6,2.1,3.9,3.8,0.1,4.5,-3.06
Cade Cunningham,Jaden Ivey,DET,2023-24,57,9,48,1235.2,-151.0,-5.87,0.3,2.0,-1.6,-3.1,-1.4,-1.7,-2.8,-3.07
Fred VanVleet,Jabari Smith Jr.,HOU,2023-24,68,36,32,1770.8,-3.0,-0.08,3.4,2.6,0.8,-0.4,-0.5,0.1,3.0,-3.08
Mike Conley,Kyle Anderson,MIN,2023-24,71,50,21,709.2,21.0,1.42,3.4,2.0,1.4,1.1,-1.6,2.7,4.5,-3.08
Damian Lillard,Bobby Portis,MIL,2024-25,39,23,16,645.4,15.0,1.12,4.0,4.7,-0.6,0.2,0.6,-0.4,4.2,-3.08
Trae Young,Onyeka Okongwu,ATL,2023-24,48,21,27,854.5,-16.0,-0.9,2.6,4.9,-2.3,-0.4,0.0,-0.5,2.2,-3.1
Immanuel Quickley,Scottie Barnes,TOR,2023-24,25,9,16,600.3,15.0,1.2,0.6,1.9,-1.3,3.7,2.9,0.8,4.3,-3.1
Lauri Markkanen,Isaiah Collier,UTA,2024-25,40,7,33,573.9,-104.0,-8.7,-0.3,1.8,-2.1,-5.3,-3.8,-1.5,-5.6,-3.1
Scoot Henderson,Donovan Clingan,POR,2024-25,54,22,32,565.2,-66.0,-5.61,-2.2,-1.4,-0.8,-0.3,-1.7,1.4,-2.5,-3.11
Jimmy Butler,Terry Rozier,MIA,2023-24,27,14,13,637.8,29.0,2.18,4.6,3.9,0.7,0.7,0.4,0.3,5.3,-3.12
Clint Capela,Dyson Daniels,ATL,2024-25,50,25,25,842.4,-46.0,-2.62,-1.0,-0.6,-0.4,1.5,-1.1,2.6,0.5,-3.12
Ja Morant,Santi Aldama,MEM,2024-25,43,25,18,602.6,31.0,2.47,2.4,3.1,-0.7,3.2,2.5,0.7,5.6,-3.13
Franz Wagner,Paolo Banchero,ORL,2024-25,40,20,20,988.3,71.0,3.45,3.1,2.6,0.5,3.5,3.4,0.2,6.6,-3.15
Jordan Clarkson,Walker Kessler,UTA,2023-24,44,19,25,731.5,-103.0,-6.76,-4.5,-1.3,-3.2,0.9,-0.4,1.3,-3.6,-3.16
Scoot Henderson,Toumani Camara,POR,2023-24,53,16,37,648.9,-163.0,-12.06,-5.8,-3.5,-2.3,-3.1,-3.1,0.0,-8.9,-3.16
Tim Hardaway Jr.,Josh Green,DAL,2023-24,54,32,22,743.2,-136.0,-8.78,-2.9,-0.8,-2.1,-2.7,-2.4,-0.3,-5.6,-3.18
Aaron Gordon,Nikola Jokić,DEN,2023-24,71,48,23,2001.3,471.0,11.3,1.3,1.2,0.1,13.2,9.0,4.2,14.5,-3.2
Nikola Vučević,Matas Buzelis,CHI,2024-25,68,34,34,751.8,-49.0,-3.13,2.6,2.5,0.1,-2.5,-2.0,-0.5,0.1,-3.23
LeBron James,Rui Hachimura,LAL,2024-25,55,34,21,1269.4,44.0,1.66,5.6,4.9,0.7,-0.7,-0.1,-0.6,4.9,-3.24
Stephen Curry,Gary Payton II,GSW,2024-25,53,30,23,657.3,61.0,4.45,6.3,6.4,0.0,1.4,-0.5,2.0,7.7,-3.25
