PLAYER_NAME,TEAM,GP,MP,BPM,OBPM,DBPM,VORP
Vít Krejčí,ATL,57,1153,0.7,0.0,0.7,0.8
Jonathan Kuminga,GSW,47,1144,-0.6,-0.5,-0.1,0.4
Kevon Looney,GSW,76,1142,0.3,-1.0,1.3,0.7
Kenrich Williams,OKC,69,1132,0.6,-0.4,0.9,0.7
Julian Phillips,CHI,79,1123,-3.0,-2.6,-0.4,-0.3
Aaron Nesmith,IND,45,1123,-0.5,0.0,-0.5,0.4
Dalano Banton,POR,67,1120,-0.8,-0.6,-0.2,0.3
Ben Simmons,2TM,51,1120,-0.5,-2.3,1.8,0.4
Ben Simmons,BRK,33,825,-1.0,-2.4,1.4,0.2
Ben Simmons,LAC,18,295,0.9,-1.9,2.7,0.2
Ja'Kobe Walter,TOR,52,1103,-3.0,-2.3,-0.6,-0.3
Jaxson Hayes,LAL,56,1093,-0.3,-1.6,1.3,0.5
Cameron Payne,NYK,72,1090,-0.2,-0.1,-0.2,0.5
Jonathan Isaac,ORL,71,1090,0.7,-1.1,1.8,0.7
DaQuan Jeffries,CHO,47,1071,-4.7,-4.0,-0.7,-0.7
Jusuf Nurkić,2TM,51,1063,-1.3,-2.2,0.9,0.2
Jusuf Nurkić,PHO,25,592,-3.4,-3.9,0.5,-0.2
Jusuf Nurkić,CHO,26,471,1.2,-0.1,1.4,0.4
Seth Curry,CHO,68,1062,-1.7,-0.8,-0.9,0.1
Cody Williams,UTA,50,1060,-7.3,-6.1,-1.2,-1.4
Isaac Okoro,CLE,55,1053,-0.5,-1.1,0.6,0.4
Oso Ighodaro,PHO,61,1045,-2.6,-2.9,0.3,-0.2
Jared Butler,2TM,60,1044,-1.0,0.5,-1.5,0.3
Jared Butler,WAS,32,362,1.0,2.2,-1.2,0.3
Jared Butler,PHI,28,682,-2.1,-0.4,-1.7,0.0
Jamison Battle,TOR,59,1042,-2.3,-0.9,-1.3,-0.1
Noah Clowney,BRK,46,1042,-4.1,-3.1,-1.0,-0.5
Alex Caruso,OKC,54,1041,4.0,0.1,3.9,1.6
Kris Murray,POR,69,1040,-3.0,-3.1,0.1,-0.3
Dejounte Murray,NOP,31,1012,-1.6,-1.3,-0.3,0.1
Jalen Suggs,ORL,35,1002,0.4,-0.8,1.3,0.6
Kyle Anderson,2TM,61,1002,1.5,-0.6,2.2,0.9
Kyle Anderson,GSW,36,541,2.3,-0.3,2.6,0.6
Kyle Anderson,MIA,25,461,0.6,-1.0,1.7,0.3
Brandon Boston Jr.,NOP,42,993,-2.5,-2.3,-0.2,-0.1
Dalen Terry,CHI,73,987,-3.8,-4.0,0.2,-0.5
Andre Jackson Jr.,MIL,67,980,-3.4,-3.6,0.2,-0.3
Zach Collins,2TM,64,977,0.0,-0.8,0.8,0.5
Zach Collins,SAS,36,425,-0.1,-1.6,1.5,0.2
Zach Collins,CHI,28,552,0.1,-0.1,0.2,0.3
Trayce Jackson-Davis,GSW,62,967,1.2,0.3,0.9,0.8
Thomas Bryant,2TM,66,963,0.6,0.7,0.0,0.6
