PLAYER_NAME,TEAM,AGE,GP,MIN,NET_RATING,OFF_RATING,DEF_RATING,USG_PCT,TS_PCT,AST_PCT,PIE,PACE,POSS,SEASON
"LaMelo Ball",CHA,23,47,32,-3.9,112.7,116.5,0.342,0.536,0.39,0.127,101.33,3173,2024-25
"Lamar Stevens",MEM,27,17,9.1,26.4,128.2,101.8,0.21,0.545,0.063,0.09,102.46,323,2024-25
"Landry Shamet",NYK,28,50,15.2,5.1,111.6,106.5,0.143,0.601,0.049,0.062,99.55,1583,2024-25
"Larry Nance Jr.",ATL,32,24,19.3,-9,107.5,116.5,0.155,0.632,0.125,0.106,104.76,1009,2024-25
"Lauri Markkanen",UTA,28,47,31.4,-6.1,111.4,117.5,0.231,0.571,0.074,0.103,101.64,3127,2024-25
"LeBron James",LAL,40,70,34.9,-1.3,112.7,114,0.291,0.604,0.395,0.169,100.62,5129,2024-25
"Leonard Miller",MIN,21,13,2.4,-19.4,79.2,98.6,0.239,0.54,0,0.202,107.87,72,2024-25
"Lester Quinones",NOP,24,13,14.1,-5.9,104.5,110.4,0.213,0.514,0.198,0.065,105.49,402,2024-25
"Liam Robbins",MIL,25,13,4.4,-5.3,80.3,85.6,0.128,0.363,0.056,-0.025,106.17,127,2024-25
"Lindy Waters III",DET,27,52,15,1.4,111.6,110.2,0.145,0.504,0.092,0.061,99.37,1607,2024-25
"Lonnie Walker IV",PHI,26,20,23.8,-14.1,104.7,118.7,0.214,0.548,0.167,0.091,101.6,1009,2024-25
"Lonzo Ball",CHI,27,35,22.2,5.5,113.5,108,0.152,0.524,0.187,0.078,105.6,1712,2024-25
"Luguentz Dort",OKC,26,71,29.2,13.1,120.4,107.3,0.133,0.586,0.067,0.063,101.75,4383,2024-25
"Luka Dončić",LAL,26,50,35.4,9.1,119.6,110.5,0.328,0.587,0.342,0.17,100.22,3696,2024-25
"Luka Garza",MIN,26,39,5.6,0.4,107.9,107.5,0.241,0.573,0.082,0.101,105.17,480,2024-25
"Luke Kennard",MEM,29,65,22.6,3.1,117.6,114.5,0.14,0.631,0.179,0.093,104.99,3228,2024-25
